name,types
Jersey Mike's Subs,"meal_takeaway, restaurant, food, store, point_of_interest, establishment"
Timberwood Tap House,"restaurant, food, point_of_interest, establishment"
Subway,"meal_takeaway, restaurant, food, point_of_interest, establishment"
Brazos Tacos,"restaurant, food, point_of_interest, establishment"
Moose's By The Creek,"restaurant, food, point_of_interest, establishment"
Domino's Pizza,"meal_takeaway, meal_delivery, restaurant, food, point_of_interest, establishment"
Jade Garden,"restaurant, food, point_of_interest, establishment"
Wooden Sun,"home_goods_store, restaurant, food, store, point_of_interest, establishment"
Southern Crescent Galley and Bar,"restaurant, food, point_of_interest, establishment"
Sultan Kebab,"restaurant, food, point_of_interest, establishment"
The Local,"bar, restaurant, food, point_of_interest, establishment"
South Street Brewery,"bar, restaurant, food, point_of_interest, establishment"
Mas,"restaurant, food, point_of_interest, establishment"
C & O,"bar, restaurant, food, point_of_interest, establishment"
La Guadalupana Latino Market,"grocery_or_supermarket, restaurant, food, store, point_of_interest, establishment"
The Red Lantern,"restaurant, food, point_of_interest, establishment"
Ten,"restaurant, food, point_of_interest, establishment"
Belmont Pizza & Pub,"meal_takeaway, bar, meal_delivery, restaurant, food, point_of_interest, establishment"
Beer Run,"restaurant, liquor_store, bar, food, store, point_of_interest, establishment"
The Nook,"bar, restaurant, food, point_of_interest, establishment"
Citizen Burger Bar,"bar, restaurant, food, point_of_interest, establishment"
Orzo Kitchen & Wine Bar,"bar, restaurant, food, point_of_interest, establishment"
Hamiltons' at First & Main,"restaurant, food, point_of_interest, establishment"
Continental Divide,"restaurant, food, point_of_interest, establishment"
The Whiskey Jar,"restaurant, food, point_of_interest, establishment"
Guadalajara,"restaurant, food, point_of_interest, establishment"
Tavola,"liquor_store, bar, restaurant, food, store, point_of_interest, establishment"
Miller's Downtown,"restaurant, bar, food, point_of_interest, establishment"
Christian's Pizza,"restaurant, food, point_of_interest, establishment"
Rapture Restaurant,"restaurant, bar, night_club, food, point_of_interest, establishment"
Michie Tavern ca. 1784,"restaurant, tourist_attraction, liquor_store, bar, food, point_of_interest, store, establishment"
The Local,"bar, restaurant, food, point_of_interest, establishment"
Beer Run,"restaurant, liquor_store, bar, food, point_of_interest, store, establishment"
South Street Brewery,"bar, restaurant, food, point_of_interest, establishment"
Belmont Pizza & Pub,"meal_delivery, bar, meal_takeaway, restaurant, food, point_of_interest, establishment"
Mas,"restaurant, food, point_of_interest, establishment"
C & O,"bar, restaurant, food, point_of_interest, establishment"
La Guadalupana Latino Market,"grocery_or_supermarket, restaurant, food, point_of_interest, store, establishment"
The Red Lantern,"restaurant, food, point_of_interest, establishment"
Ten,"restaurant, food, point_of_interest, establishment"
The Nook,"bar, restaurant, food, point_of_interest, establishment"
Guadalajara,"restaurant, food, point_of_interest, establishment"
Citizen Burger Bar,"bar, restaurant, food, point_of_interest, establishment"
Hamiltons' at First & Main,"restaurant, food, point_of_interest, establishment"
Pad Thai,"restaurant, food, point_of_interest, establishment"
The Whiskey Jar,"restaurant, food, point_of_interest, establishment"
Orzo Kitchen & Wine Bar,"bar, restaurant, food, point_of_interest, establishment"
Tavola,"liquor_store, bar, restaurant, food, point_of_interest, store, establishment"
Rapture Restaurant,"restaurant, night_club, bar, food, point_of_interest, establishment"
Miller's Downtown,"restaurant, bar, food, point_of_interest, establishment"
Michie Tavern ca. 1784,"restaurant, tourist_attraction, liquor_store, bar, store, food, point_of_interest, establishment"
The Local,"bar, restaurant, food, point_of_interest, establishment"
Beer Run,"restaurant, liquor_store, bar, store, food, point_of_interest, establishment"
Belmont Pizza & Pub,"meal_takeaway, bar, meal_delivery, restaurant, food, point_of_interest, establishment"
Mas,"restaurant, food, point_of_interest, establishment"
C & O,"bar, restaurant, food, point_of_interest, establishment"
South Street Brewery,"bar, restaurant, food, point_of_interest, establishment"
La Guadalupana Latino Market,"grocery_or_supermarket, restaurant, store, food, point_of_interest, establishment"
The Red Lantern,"restaurant, food, point_of_interest, establishment"
Guadalajara,"restaurant, food, point_of_interest, establishment"
Ten,"restaurant, food, point_of_interest, establishment"
The Nook,"bar, restaurant, food, point_of_interest, establishment"
Pad Thai,"restaurant, food, point_of_interest, establishment"
Citizen Burger Bar,"bar, restaurant, food, point_of_interest, establishment"
Hamiltons' at First & Main,"restaurant, food, point_of_interest, establishment"
Tavola,"liquor_store, bar, restaurant, store, food, point_of_interest, establishment"
Rapture Restaurant,"restaurant, night_club, bar, food, point_of_interest, establishment"
Twisted Branch Tea Bazaar,"cafe, restaurant, food, point_of_interest, establishment"
Zocalo,"bar, restaurant, food, point_of_interest, establishment"
Miller's Downtown,"restaurant, bar, food, point_of_interest, establishment"
