name,rating,lat,lng,vicinity,price_level,types,user_ratings_total
The Local,4.4,38.0245847,-78.4754777,"824 Hinton Avenue, Charlottesville",2,"bar, restaurant, food, point_of_interest, establishment",759
Mas,4.4,38.0242534,-78.4742108,"904 Monticello Road, Charlottesville",3,"restaurant, food, point_of_interest, establishment",603
La Guadalupana Latino Market,4.2,38.0230518,-78.47049030000001,"221 Carlton Road #15, Charlottesville",N/A,"grocery_or_supermarket, store, restaurant, food, point_of_interest, establishment",126
The Red Lantern,3.9,38.02318449999999,-78.4703777,"221 Carlton Road #16, Charlottesville",1,"restaurant, food, point_of_interest, establishment",368
Belmont Pizza & Pub,4.3,38.0240274,-78.4690459,"10, 5975, 221 Carlton Road, Charlottesville",1,"meal_delivery, meal_takeaway, bar, restaurant, food, point_of_interest, establishment",371
Tavola,4.6,38.0245413,-78.47537489999999,"826 Hinton Avenue, Charlottesville",3,"liquor_store, bar, store, restaurant, food, point_of_interest, establishment",607
Moose's By The Creek,4.7,38.0138711,-78.4736381,"1710 Monticello Road, Charlottesville",1,"restaurant, food, point_of_interest, establishment",1081
Panera Bread,3.7,38.0114091,-78.49838679999999,"405 Merchant Walk Square Bldg 1800, Charlottesville",2,"cafe, meal_takeaway, bakery, store, restaurant, food, point_of_interest, establishment",453
Jersey Mike's Subs,4.4,38.01034669999999,-78.4987987,"265 Merchant Walk Avenue Suite 1004, Charlottesville",1,"meal_takeaway, store, restaurant, food, point_of_interest, establishment",683
Timberwood Tap House,4.2,38.010356,-78.4997365,"245 Merchant Walk Avenue Unit 100, Charlottesville",2,"restaurant, food, point_of_interest, establishment",1359
Alamo Drafthouse Cinema Charlottesville,4.5,38.0119188,-78.4994946,"375 Merchant Walk Square, Charlottesville",N/A,"movie_theater, bar, restaurant, food, point_of_interest, establishment",2317
Brazos Tacos,4.4,38.02475929999999,-78.4829253,"925 2nd Street Southeast, Charlottesville",1,"restaurant, food, point_of_interest, establishment",1036
Wooden Sun,4.4,38.0184558,-78.4866472,"1524 Rosa Terrace, Charlottesville",N/A,"home_goods_store, store, restaurant, food, point_of_interest, establishment",41
Southern Crescent Galley and Bar,4.3,38.0246928,-78.4759035,"814 Hinton Avenue, Charlottesville",2,"restaurant, food, point_of_interest, establishment",150
Cactus Mexican Restaurant,4.2,38.0229822,-78.47019399999999,"221 Carlton Road, Charlottesville",2,"restaurant, food, point_of_interest, establishment",298
The Market at Mill Creek,4.7,38.000067,-78.497748,"1345 Parham Circle, Charlottesville",1,"gas_station, convenience_store, store, restaurant, food, point_of_interest, establishment",411
